Testpaar ; <keine> ; 1 ; 4 ; 141 ; Match ; 11 ; 4. ; 10,5 ; R ; -272,2 ; 259,6 ; 376,14 ; 136,357 ; 19:06:50 ; 146,8905 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 143 ; Match ; 10 ; 1. ; 9,3 ; j ; -939,6 ; 954 ; 1339,02 ; 134,564 ; 18:49:09 ; 155,3898 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 143 ; Match ; 11 ; 2. ; 10,6 ; R ; -307,4 ; -68,2 ; 314,87 ; 192,509 ; 18:44:08 ; 84,99912 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 143 ; Match ; 0 ; 9. ; 8,4 ; i ; 573,2 ; -1921,4 ; 2005,08 ; 286,611 ; 19:18:40 ; 247,078 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 143 ; Match ; 0 ; 5. ; 10,6 ; R ; 186,1 ; 200,2 ; 273,34 ; 47,09 ; 18:56:52 ; 318,8586 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 1 ; 143 ; Match ; 0 ; 10. ; 9,6 ; l ; -874,2 ; -695,3 ; 1116,99 ; 218,497 ; 19:19:03 ; 270,093 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 155 ; Match ; 11 ; 5. ; 10,2 ; h ; -112 ; 593,9 ; 604,37 ; 100,68 ; 19:07:32 ; 189,2335 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 162 ; Match ; 11 ; 3. ; 10,7 ; R ; 42 ; 157,3 ; 162,81 ; 75,05 ; 18:44:50 ; 127,2181 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 162 ; Match ; 0 ; 1. ; 9 ; j ; -1384,5 ; 692,4 ; 1547,99 ; 153,43 ; 18:50:06 ; 35,63987 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 162 ; Match ; 11 ; 6. ; 10,7 ; R ; 180,3 ; 100,1 ; 206,22 ; 29,038 ; 19:07:58 ; 215,1875 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 162 ; Match ; 0 ; 2. ; 9,3 ; m ; 667,9 ; -1094,4 ; 1282,11 ; 301,395 ; 18:50:31 ; 61,43687 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 162 ; Match ; 0 ; 6. ; 7,3 ; k ; 1678,9 ; 2348,5 ; 2886,89 ; 54,44 ; 18:57:46 ; 373,1866 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 163 ; Match ; 11 ; 7. ; 9,8 ; j ; -851,6 ; 381,8 ; 933,27 ; 155,852 ; 19:08:35 ; 252,3745 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 163 ; Match ; 11 ; 4. ; 10,2 ; i ; 190,4 ; -532,2 ; 565,23 ; 289,685 ; 18:45:47 ; 184,1241 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 163 ; Match ; 0 ; 7. ; 9,9 ; g ; 836,6 ; 209 ; 862,31 ; 14,027 ; 18:58:19 ; 406,2186 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 163 ; Match ; 0 ; 3. ; 10,8 ; R ; 54 ; 121 ; 132,5 ; 65,95 ; 18:51:11 ; 101,4679 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 163 ; Match ; 0 ; 4. ; 9,3 ; l ; -693,5 ; -1149,4 ; 1342,41 ; 238,895 ; 18:51:35 ; 125,3899 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 4 ; 164 ; Match ; 11 ; 8. ; 9,3 ; f ; -1238,8 ; 417,2 ; 1307,17 ; 161,388 ; 19:09:18 ; 295,2185 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 3 ; 150 ; Match ; 11 ; 5. ; 10,3 ; m ; 466,2 ; -272,7 ; 540,1 ; 329,675 ; 18:46:31 ; 228,4371 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 5 ; 150 ; Match ; 0 ; 5. ; 9,8 ; g ; 860 ; -345,4 ; 926,77 ; 338,118 ; 18:51:52 ; 141,9679 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testpaar ; <keine> ; 1 ; 2 ; 150 ; Match ; 0 ; 8. ; 10,7 ; R ; 14,5 ; -237,6 ; 238,04 ; 273,492 ; 18:59:10 ; 456,9996 ; 16.07.2016 ; SpO 1.80 ; frei ; 
