Testfirmen ; <keine> ; 1 ; 5 ; 12 ; Match ; 10 ; 3. ; 9,6 ; i ; -284,4 ; -1051,3 ; 1089,09 ; 254,863 ; 17:00:35 ; 185,0311 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 13 ; Match ; 11 ; 3. ; 10,3 ; k ; 221,8 ; 439,9 ; 492,65 ; 63,243 ; 17:18:40 ; 139,9999 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 3 ; 13 ; Match ; 0 ; 4. ; 9,3 ; m ; 959,5 ; -943 ; 1345,32 ; 315,497 ; 16:56:02 ; 614,0464 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 5 ; 13 ; Match ; 10 ; 1. ; 9,1 ; m ; 789,5 ; -1254,2 ; 1482 ; 302,19 ; 17:01:19 ; 28,21812 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 14 ; Match ; 11 ; 4. ; 9,7 ; m ; 577 ; -802,9 ; 988,73 ; 305,703 ; 17:19:28 ; 188,6719 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 3 ; 15 ; Match ; 0 ; 5. ; 9,7 ; f ; -1032,8 ; -20,9 ; 1033,01 ; 181,159 ; 16:57:03 ; 674,4524 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 15 ; Match ; 11 ; 5. ; 9,7 ; i ; -7,7 ; -962,2 ; 962,23 ; 269,541 ; 17:20:13 ; 233,0619 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 15 ; Match ; 11 ; 6. ; 10,5 ; R ; -193,5 ; 260,6 ; 324,58 ; 126,595 ; 17:20:57 ; 277,1399 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 3 ; 16 ; Match ; 0 ; 6. ; 8,3 ; f ; -1961,9 ; 758,3 ; 2103,35 ; 158,868 ; 16:58:11 ; 742,7654 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 16 ; Match ; 11 ; 7. ; 9,6 ; j ; -408,9 ; 966,7 ; 1049,62 ; 112,928 ; 17:21:28 ; 308,2499 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 3 ; 16 ; Match ; 0 ; 7. ; 9,5 ; h ; 288,7 ; 1146,1 ; 1181,9 ; 75,861 ; 16:58:49 ; 780,9054 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 2 ; 17 ; Match ; 0 ; 1. ; 4,7 ; j ; -3500,5 ; 3611,3 ; 5029,41 ; 134,107 ; 17:11:16 ; 790,031 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 4 ; 17 ; Match ; 11 ; 8. ; 10,7 ; R ; -188,5 ; 104,5 ; 215,53 ; 150,997 ; 17:22:04 ; 344,0619 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 2 ; 17 ; Match ; 0 ; 2. ; 9,3 ; l ; -953,2 ; -921 ; 1325,46 ; 224,016 ; 17:11:40 ; 814,359 ; 16.07.2016 ; SpO 1.80 ; frei ; 
Testfirmen ; <keine> ; 1 ; 3 ; 18 ; Match ; 0 ; 8. ; 9,4 ; k ; 599,1 ; 1102,2 ; 1254,5 ; 61,474 ; 16:59:36 ; 827,7344 ; 16.07.2016 ; SpO 1.80 ; frei ; 
